,Screener Defender,Season,Picks,Picks Per 100 Possessions,Possessions,Points Per Chance,Possessions (Total)
666,Tarik Black,2017-18,353,31.239,287,0.921,1130
667,Alexis Ajinca,2016-17,353,29.839,297,0.944,1183
668,Terrence Jones,2016-17,350,13.571,313,1.025,2579
669,Marreese Speights,2017-18,350,26.100,298,0.931,1341
670,Boban Marjanovic,2015-16,350,33.493,302,0.912,1045
671,Miles Plumlee,2016-17,348,37.100,284,1.017,938
672,Marvin Bagley III,2020-21,348,15.085,303,1.161,2307
673,Markieff Morris,2017-18,347,8.126,290,1.020,4270
674,Udonis Haslem,2014-15,346,18.592,296,0.900,1861
675,Larry Sanders,2014-15,345,29.412,286,0.788,1173
676,Terrence Jones,2013-14,344,7.863,293,0.851,4375
677,Giannis Antetokounmpo,2020-21,344,5.881,308,0.906,5849
678,Marquese Chriss,2018-19,342,34.200,285,1.107,1000
679,David Lee,2016-17,341,10.107,309,1.029,3374
680,Jordan Bell,2018-19,341,18.573,303,1.026,1836
681,Jusuf Nurkic,2015-16,341,31.487,290,0.932,1083
682,Josh McRoberts,2015-16,340,24.268,268,0.894,1401
683,Anderson Varejao,2015-16,339,29.199,289,0.915,1161
684,Marvin Bagley III,2018-19,339,10.186,294,1.070,3328
685,Frank Kaminsky,2018-19,338,22.251,291,0.956,1519
686,Goga Bitadze,2019-20,338,33.665,296,0.911,1004
687,Reggie Evans,2014-15,336,23.188,279,0.872,1449
688,Meyers Leonard,2014-15,334,18.083,291,0.824,1847
689,Joffrey Lauvergne,2017-18,333,30.579,277,0.993,1089
690,Omer Asik,2016-17,332,33.982,274,0.953,977
691,Blake Griffin,2017-18,331,8.338,277,0.871,3970
692,Joel Freeland,2013-14,331,22.749,290,0.846,1455
693,Anderson Varejao,2014-15,331,27.469,282,0.808,1205
694,Tyler Zeller,2016-17,329,27.280,286,0.903,1206
695,Brook Lopez,2013-14,328,32.347,287,0.945,1014
696,Tarik Black,2014-15,328,14.571,287,0.928,2251
697,Jakob Poeltl,2016-17,328,26.032,281,0.968,1260
698,Jeff Green,2019-20,328,12.023,284,0.822,2728
699,Josh Smith,2015-16,327,17.496,277,0.829,1869
700,Jaren Jackson Jr.,2018-19,327,10.995,280,0.957,2974
701,Willy Hernangomez,2017-18,326,32.764,277,0.943,995
702,Serge Ibaka,2017-18,326,6.812,292,0.904,4786
703,Moritz Wagner,2020-21,326,21.100,284,0.983,1545
704,Mike Muscala,2019-20,325,26.189,277,0.854,1241
705,Dragan Bender,2017-18,325,7.563,275,0.940,4297
706,Tiago Splitter,2015-16,324,27.979,279,0.837,1158
707,Thomas Robinson,2015-16,324,17.871,269,1.070,1813
708,Cristiano Felicio,2019-20,321,41.313,245,1.024,777
709,Nic Claxton,2020-21,318,21.618,289,0.775,1471
710,Marvin Williams,2018-19,317,7.318,276,0.978,4332
711,Larry Sanders,2013-14,315,29.384,279,0.940,1072
712,Samuel Dalembert,2014-15,313,30.359,262,0.864,1031
713,Gorgui Dieng,2020-21,311,26.787,261,1.011,1161
714,Ronny Turiaf,2013-14,311,26.047,273,0.861,1194
715,Patrick Patterson,2014-15,310,7.159,263,0.951,4330
716,Kevin Seraphin,2013-14,310,28.004,251,0.805,1107
717,Anzejs Pasecniks,2019-20,309,33.734,282,1.042,916
718,Aron Baynes,2013-14,309,26.433,271,0.912,1169
719,Dario Saric,2019-20,308,9.197,265,1.019,3349
720,Paul Millsap,2016-17,308,5.986,271,0.916,5145
721,Marquese Chriss,2017-18,308,9.682,266,1.004,3181
722,Willie Cauley-Stein,2015-16,307,10.704,262,0.875,2868
723,Trevor Booker,2013-14,306,9.574,257,0.996,3196
724,Kevin Seraphin,2015-16,306,29.565,266,0.870,1035
725,Boban Marjanovic,2017-18,306,44.541,253,0.923,687
726,Kris Humphries,2015-16,303,16.658,261,0.905,1819
727,Damian Jones,2018-19,302,35.239,260,1.004,857
728,Ed Davis,2016-17,297,18.632,262,0.970,1594
729,Taj Gibson,2016-17,297,7.093,263,0.897,4187
730,Mike Muscala,2015-16,296,23.910,240,0.960,1238
